Column1|name|pos|team|overallRank|positionRank|passAtt|passComp|passIncomp|passYds|passTds|passInt|rushAtt|rushYds|rushTds|rec|recYds|recTds|returnTds|twoPts|fumbles|cost|risk|sdPts|sdPick|passAttPts|passCompPts|passIncompPts|passYdsPts|passTdsPts|passIntPts|rushAttPts|rushYdsPts|rushTdsPts|recPts|recYdsPts|recTdsPts|twoPtsPts|fumblesPts|projectedPts|upside|projectedCost|
198|Blake Bortles|QB|JAC|169|35|210.5|120|86.5|1382.000026|8.099978958|7.034969025|19.66500761|72.9999481|1.000005762|0|0|0|0|0.1|1.825240757|1|8.788030502|45.57054549|29.9|0|0|0|55.28000102|32.39991583|-14.06993805|0|7.29999481|6.000034571|0|0|0|0.2|-3.650481515|83.45952667|129.0300722|1|
199|Scott Chandler|TE|BUF|207|26|0.02|0|0.02|0|0|0|0|0|0|40|472.9325|3|0|0|0.999946228|1|5.419315665|20.21743682|NA|0|0|0|0|0|0|0|0|0|0|47.29325|18|0|-1.999892457|63.29335754|83.51079436|1|
200|Roy Helu|RB|WAS|196|58|0.08|0|0|0|0|0|65|296.7177974|2.000037388|32.21499621|234.25|0.999976624|0|0|1.239960043|1|5.304606508|21.70648576|17.4|0|0|0|0|0|0|0|29.67177974|12.00022433|0|23.425|5.999859747|0|-2.479920086|68.61694373|90.32342948|1|
201|Ronnie Hillman|RB|DEN|190|55|0|0|0|0|0|0|92.45|379.5057722|2.5500376|17.7226855|156|0.95878016|0|0|1.87694629|1|7.263926123|28.22514261|28.6|0|0|0|0|0|0|0|37.95057722|15.3002256|0|15.6|5.752680963|0|-3.753892579|70.8495912|99.07473382|1|
202|Brian Quick|WR|STL|211|84|0.18|0|0.18|0|0|0|0|0|0|32.96942718|459.99|2.650052304|0|0|0.322152672|1|8.472488455|25.30478774|39.7|0|0|0|0|0|0|0|0|0|0|45.999|15.90031382|0|-0.644305345|61.25500848|86.55979622|1|
203|Josh Gordon|WR|CLE|213|85|0.12|0.06|0|0|0|0|0|9.00562276|0|25.44995059|438.2456597|2.749963475|0|0|0|1.8|6.330662094|34.83305458|17.4|0|0|0|0|0|0|0|0.900562276|0|0|43.82456597|16.49978085|0|0|61.2249091|96.05796368|2|
204|Nate Burleson|WR|CLE|214|86|0.015|0|0|0|0|0|1.000084268|4.999948731|0|36.76347684|464.5000934|2.620029638|0|0|0.825051257|1|8.241729158|26.82387275|37|0|0|0|0|0|0|0|0.499994873|0|0|46.45000934|15.72017783|0|-1.650102514|61.02007952|87.84395227|1|
205|Austin Seferian-Jenkins|TE|TB|210|28|0|0|0|0|0|0|0|0|0|35.00003317|405.2|3.499978386|0|0|0|1|8.716371712|31.5712732|37.8|0|0|0|0|0|0|0|0|0|0|40.52|20.99987031|0|0|61.51987031|93.09114352|1|
206|Marlon Brown|WR|BAL|215|87|0|0|0|0|0|0|0|0|0|36.6834686|426.4999859|3|0|0|0|1|6.672047746|26.61476106|25|0|0|0|0|0|0|0|0|0|0|42.64999859|18|0|0|60.64999859|87.26475964|1|
207|Zach Miller|TE|SEA|209|27|0|0|0|0|0|0|0|0|0|34.27494751|393.3265947|3.999946006|0|0|0.62849019|1.2|7.046276326|28.91833105|26.5|0|0|0|0|0|0|0|0|0|0|39.33265947|23.99967604|0|-1.25698038|62.07535512|90.99368617|2|
208|Jacquizz Rodgers|RB|ATL|205|62|0|0|0|0|0|0|63.1|255.275|1.34502887|36.5999653|265.7057526|1.200011323|0|0|1.00001978|1|7.205949634|24.00580272|30.7|0|0|0|0|0|0|0|25.5275|8.070173222|0|26.57057526|7.200067937|0|-2.000039561|65.36827686|89.37407957|1|
209|James Starks|RB|GB|194|57|0.1|0|0.06|0|0|0|78.65|371.0000419|2.745870329|12.29998059|111.0425|0.999976837|0|0|0.999999237|1|6.12069958|22.70766514|23.1|0|0|0|0|0|0|0|37.10000419|16.47522198|0|11.10425|5.999861024|0|-1.999998474|68.67933871|91.38700386|1|
210|Kenbrell Thompkins|WR|NE|217|88|0.01|0|0.01|0|0|0|0|0|0|31.78508898|435.8375|2.649994814|0|0|0|1.1|7.211095163|24.5684354|30.4|0|0|0|0|0|0|0|0|0|0|43.58375|15.89996888|0|0|59.48371888|84.05215429|1|
211|Mychal Rivera|TE|OAK|216|29|0|0|0|0|0|0|0|0|0|38.49999055|416|3.000029357|0|0|0|1|5.878744106|23.1562245|NA|0|0|0|0|0|0|0|0|0|0|41.6|18.00017614|0|0|59.60017614|82.75640065|1|
212|James White|RB|NE|199|59|0|0|0|0|0|0|90.00004846|360.9999794|3.000022408|10.50007654|75.975|0.999910772|0|0.05|0|1|6.894496698|31.61342299|23.7|0|0|0|0|0|0|0|36.09999794|18.00013445|0|7.5975|5.999464629|0.1|0|67.79709701|99.41052001|1|
213|Levine Toilolo|TE|ATL|218|30|0|0|0|0|0|0|0|0|0|33.49995642|383.45|3.499972618|0|0|0|1|6.575323711|27.69576997|23.6|0|0|0|0|0|0|0|0|0|0|38.345|20.99983571|0|0|59.34483571|87.04060568|1|
214|Donald Brown|RB|SD|201|60|0|0|0|0|0|0|86.5|371.975|2.499953274|13.31001554|101.2275|0.750036258|0.2|0|0.8|1|5.862136201|20.22781132|22.6|0|0|0|0|0|0|0|37.1975|14.99971964|0|10.12275|4.500217548|0|-1.6|66.42018719|86.64799851|1|
215|Jace Amaro|TE|NYJ|219|31|0|0|0|0|0|0|0|0|0|33.85|393.5|3.130050605|0|0|0|1|5.248102681|26.44847116|14.1|0|0|0|0|0|0|0|0|0|0|39.35|18.78030363|0|0|58.13030363|84.57877479|1|
216|Cody Latimer|WR|DEN|220|89|0|0|0|0|0|0|0|0|0|29.50004369|398|3|0|0|0|1|8.167905823|29.02586355|35.1|0|0|0|0|0|0|0|0|0|0|39.8|18|0|0|57.8|86.82586355|1|
217|Mike Tolbert|RB|CAR|208|63|0.09|0|0|0|0|0|61.23131073|225.4999547|3|23.99616251|167.1080552|1.000042782|0|0|0|1|5.400686794|27.57250748|14.6|0|0|0|0|0|0|0|22.54999547|18|0|16.71080552|6.000256693|0|0|63.26105768|90.83356516|1|
218|Jerome Simpson|WR|MIN|223|90|0|0|0|0|0|0|0|0|0|31.96|459.25|2.150028419|0|0|0.999965811|1|5.88965132|23.22599377|NA|0|0|0|0|0|0|0|0|0|0|45.925|12.90017051|0|-1.999931622|56.82523889|80.05123266|1|
219|Christine Michael|RB|SEA|202|61|0.005|0|0|0|0|0|85.38783709|399.7475|2.749942766|10.45510187|74|0.649970903|0|0|1|2.1|7.008325747|33.8976725|23.2|0|0|0|0|0|0|0|39.97475|16.49965659|0|7.4|3.899825417|0|-2|65.77423201|99.67190451|2|
220|Brian Hoyer|QB|CLE|187|36|162.575|102.115|66.25|1262.5|8.205179795|7.000027372|13.04209709|39|0.674190163|0|0|0|0|0.1|1.280875523|1|10.23556599|60.2803689|32.2|0|0|0|50.5|32.82071918|-14.00005474|0|3.9|4.045140981|0|0|0|0.2|-2.561751046|74.90405437|135.1844233|1|
221|Brandon Myers|TE|TB|225|32|0|0|0|0|0|0|0.5|0|0|34.42509017|397|2.999928585|0|0|0.6|1|6.812641881|29.13001071|NA|0|0|0|0|0|0|0|0|0|0|39.7|17.99957151|0|-1.2|56.49957151|85.62958222|1|
