Players|%Owned|Tack|Tack Asst|Sack|Force Fum|Pass Def|
Prince Amukamara|11|61|21|0|2|1|9|
Lardarius Webb|7|48|25|0|3|1|7|
Jason McCourty|5|67|21|0|2|1|15|
Cortland Finnegan|3|58|13|1|3|1|5|
Corey Graham|2|56|25|0|2|2|7|
Bradley Fletcher|2|57|14|0|3|1|12|
Barry Church|51|95|26|1|1|2|8|
Eric Weddle|50|91|24|1|2|1|9|
Earl Thomas|49|68|33|0|3|2|9|
Antrel Rolle|39|73|25|2|4|1|6|
T.J. Ward|35|78|26|2|2|1|11|
Harrison Smith|35|81|39|1|3|1|12|
Johnathan Cyprien|33|89|21|1|1|2|6|
Eric Berry|30|75|12|2|3|1|8|
Devin McCourty|29|50|28|1|2|2|6|
Mark Barron|20|83|25|2|3|1|11|
Bernard Pollard|18|75|24|1|3|2|8|
Kam Chancellor|17|69|33|1|2|1|6|
Kenny Vaccaro|16|78|25|2|2|1|4|
Morgan Burnett|14|84|29|1|2|2|5|
Antoine Bethea|12|78|19|1|2|2|6|
Charles Woodson|11|60|24|1|1|1|6|
Tyrann Mathieu|11|66|14|1|2|1|11|
Tyvon Branch|9|77|29|1|1|2|5|
Jairus Byrd|9|52|18|0|5|2|7|
LaRon Landry|8|72|35|1|1|1|3|
Eric Reid|8|63|15|0|2|1|8|
Reshad Jones|7|63|15|1|2|0|7|
William Moore|6|60|28|1|3|2|9|
Donte Whitner|5|70|33|0|1|1|9|
Calvin Pryor|5|66|32|1|1|1|10|
Stevie Brown|5|66|23|1|3|2|11|
James Ihedigbo|5|54|23|0|2|2|11|
Roman Harper|4|67|32|2|1|2|10|
Tashaun Gipson|4|54|27|0|2|1|9|
Mike Mitchell|3|63|26|1|2|1|6|
Matt Elam|3|66|35|2|1|1|6|
T.J. McDonald|2|79|13|1|1|1|9|
Ryan Clark|2|68|29|0|2|0|6|
Deone Bucannon|2|74|17|1|2|1|10|
Aaron Williams|2|61|27|0|2|1|8|
D.J. Swearinger|2|72|22|1|1|1|10|
Da'Norris Searcy|2|64|36|1|1|1|5|
Louis Delmas|1|62|15|0|2|1|7|
Malcolm Jenkins|1|67|16|1|2|1|5|
Michael Griffin|0|62|20|0|2|2|9|
